id,lat,lon
0101.01.116,48.15061959072173,11.56791618325991
0101.01.117,48.15055400334481,11.567874852386467
0101.02.160,48.14991531246571,11.568641260204629
0101.EG.194C,48.15015851153734,11.568716369289548
0102.03.205B,48.15065856094984,11.56751425047321
0104.02.407B,48.15095828416315,11.568652201803502
0104.U1.401A,48.15079846393374,11.568434944334342
0104.U1.403,48.15077574241252,11.568559159267096
0104.U1.403A,48.150757505354676,11.568623823817518
0104.U1.408A,48.15098522134474,11.568568283752711
0104.U1.408B,48.151012771913685,11.568463670538534
0104.U1.408C,48.15096130779165,11.56864415663739
0104.U1.421,48.15089929865698,11.568621333837228
0104.U1.432,48.15082728300803,11.568544211943873
0104.U1.450A,48.150898402837186,11.568532648231638
0106.01.601,48.15038314643567,11.569554247616054
0106.02.632,48.15022948929189,11.569142781513392
0106.03.619,48.14987951445917,11.569120018249748
0106.EG.612,48.15011114014932,11.569205560445468
0108.U1.815,48.150753881858606,11.569596212689788
0201.01.001,48.147784,11.566958
0201.01.002,48.147731,11.567009
0201.01.003,48.147708,11.566995
0201.01.004,48.147678,11.566972
0201.01.005,48.147684,11.566933
0201.01.006,48.147699,11.566878
0201.01.007,48.147712,11.566846
0201.01.008,48.147744,11.56686
0201.01.009,48.147767,11.566878
0201.01.011,48.147748,11.566941
0201.01.012,48.147726,11.566936
0201.01.013,48.147681,11.566899
0201.02.001,48.147784,11.566958
0201.02.002,48.147731,11.567009
0201.02.003,48.147708,11.566995
0201.02.004,48.147678,11.566972
0201.02.005,48.147684,11.566933
0201.02.006,48.147699,11.566878
0201.02.007,48.147712,11.566846
0201.02.008,48.147744,11.56686
0201.02.009,48.147767,11.566878
0201.02.011,48.147748,11.566941
0201.02.013,48.147681,11.566899
0201.03.001,48.147784,11.566958
0201.03.002,48.147715,11.567
0201.03.003,48.147678,11.566972
0201.03.004,48.147684,11.566933
0201.03.005,48.147699,11.566878
0201.03.006,48.147712,11.566846
0201.03.007,48.147739,11.566858
0201.03.008,48.147751,11.566864
0201.03.009,48.147767,11.566878
0201.03.011,48.147748,11.566941
0201.03.012,48.147726,11.566936
0201.03.013,48.147681,11.566899
0201.EG.001,48.147784,11.566958
0201.EG.002,48.147715,11.567
0201.EG.003,48.147678,11.566972
0201.EG.004,48.147684,11.566933
0201.EG.005,48.147699,11.566878
0201.EG.006,48.147712,11.566846
0201.EG.007,48.147744,11.56686
0201.EG.008,48.147767,11.566878
